AF코드,AF코드이름,비용출처,광고유형,캠페인,하위캠페인,디바이스,채널,매체명,상품명,브랜드/기획전,기획전 번호,부서명,키워드(소재),기간,노출수
1BNS,M네이버브랜드검색_BNS_홈링크,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M홈링크,바앤쉬,없음,마케팅본부,-,20220515,0
1BNS,M네이버브랜드검색_BNS_홈링크,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M홈링크,바앤쉬,없음,마케팅본부,-,20220514,0
1BNS,M네이버브랜드검색_BNS_홈링크,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M홈링크,바앤쉬,없음,마케팅본부,-,20220513,0
1BNS,M네이버브랜드검색_BNS_홈링크,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M홈링크,바앤쉬,없음,마케팅본부,-,20220512,0
1BNS,M네이버브랜드검색_BNS_홈링크,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M홈링크,바앤쉬,없음,마케팅본부,-,20220511,0
1BNS,M네이버브랜드검색_BNS_홈링크,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M홈링크,바앤쉬,없음,마케팅본부,-,20220510,0
1BNS,M네이버브랜드검색_BNS_홈링크,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M홈링크,바앤쉬,없음,마케팅본부,-,20220509,0
2010,네이버_쇼핑검색,거래액확대,SA,매출,매출,PC,쇼핑검색광고,네이버,-,LFmall,없음,e-마케팅,-,20220515,74201
2010,네이버_쇼핑검색,거래액확대,SA,매출,매출,PC,쇼핑검색광고,네이버,-,LFmall,없음,e-마케팅,-,20220514,69177
2010,네이버_쇼핑검색,거래액확대,SA,매출,매출,PC,쇼핑검색광고,네이버,-,LFmall,없음,e-마케팅,-,20220513,130233
2010,네이버_쇼핑검색,거래액확대,SA,매출,매출,PC,쇼핑검색광고,네이버,-,LFmall,없음,e-마케팅,-,20220512,144451
2010,네이버_쇼핑검색,거래액확대,SA,매출,매출,PC,쇼핑검색광고,네이버,-,LFmall,없음,e-마케팅,-,20220511,153367
2010,네이버_쇼핑검색,거래액확대,SA,매출,매출,PC,쇼핑검색광고,네이버,-,LFmall,없음,e-마케팅,-,20220510,138015
2010,네이버_쇼핑검색,거래액확대,SA,매출,매출,PC,쇼핑검색광고,네이버,-,LFmall,없음,e-마케팅,-,20220509,139385
2BNS,M네이버브랜드검색_BNS_메인이미지,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인이미지,바앤쉬,없음,마케팅본부,-,20220514,0
2BNS,M네이버브랜드검색_BNS_메인이미지,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인이미지,바앤쉬,없음,마케팅본부,-,20220513,0
2BNS,M네이버브랜드검색_BNS_메인이미지,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인이미지,바앤쉬,없음,마케팅본부,-,20220512,0
2BNS,M네이버브랜드검색_BNS_메인이미지,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인이미지,바앤쉬,없음,마케팅본부,-,20220511,131
2BNS,M네이버브랜드검색_BNS_메인이미지,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인이미지,바앤쉬,없음,마케팅본부,-,20220510,107
2BNS,M네이버브랜드검색_BNS_메인이미지,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인이미지,바앤쉬,없음,마케팅본부,-,20220509,79
3BNS,M네이버브랜드검색_BNS메인텍스트,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인텍스트,바앤쉬,없음,마케팅본부,-,20220515,0
3BNS,M네이버브랜드검색_BNS메인텍스트,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인텍스트,바앤쉬,없음,마케팅본부,-,20220514,0
3BNS,M네이버브랜드검색_BNS메인텍스트,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인텍스트,바앤쉬,없음,마케팅본부,-,20220513,0
3BNS,M네이버브랜드검색_BNS메인텍스트,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M메인텍스트,바앤쉬,없음,마케팅본부,-,20220512,0
